GLOSS	NUMBER
to neigh, to whinny	808
deer	809
horn	810
dog	811
to bark	812
cat	813
to miaow	814
tiger	815
to roar	816
bear	817
porcupine	818
marsupial	819
marten (paradaxurus)	820
half-ape	821
ant-eater (manis javanica)	822
cassowary	823
pigeon	824
crow	825
hen, chicken	826
chick	827
hen	828
mother hen	829
cock, rooster	830
fighting cock	831
cock-fighting	832
duck	833
parrot	834
parakeet, budgerigar	835
swallow	836
rice-bird	837
hornbill	838
quail	839
heron	840
birds of prey	841
owl	842
kite (bird)	843
bird	844
squirrel	845
bat	846
bat	847
flying fox	848
deer	849
cherrotain mousedeer	850
mouse	851
rat	852
shrew	853
monkey	854
to hunt	855
trap for catching large game	856
trap	857
bamboo spikes	858
to fish	859
fish trap	860
net	861
fish	862
shark	863
ray	864
eel	865
louse	866
to delouse	867
louse	868
nit	869
flea	870
spider	871
fly	872
bluebottle fly	873
wasp	874
bee	875
honey	876
mosquito	877
butterfly	878
caterpillar	879
firefly	880
grasshopper	881
beetle	882
cockroach	883
ant	884
white ant, termite	885
snake	886
python	887
centipede	888
leech	889
snail, slug	890
worm	891
shrimp	892
crab	893
shell	894
crustacean	895
frog	896
toad	897
lizard	898
iguana	899
crocodile	900
tortoise	901
turtle	902
universe	903
firmament	904
sky	905
sun	906
sun eclipse	907
moon	908
one month	909
month (name of the months)	910
moon eclipse	911
star	912
sunrise	913
moonrise	914
sunset	915
moonset	916
earth (globe)	917
air	918
rain	919
dew	920
cloud	921
fog, mist	922
rainbow	923
thunder	924
thunderstone	925
(flash of) lightning	926
earthquake	927
wind	928
storm	929
water	930
sea	931
ebb	932
lake	933
flood, tide	934
wave	935
breakers, surf	936
bay	937
beach	938
strait(s)	939
sandbank	940
coral reef	941
land	942
land (state)	943
island	944
isthmus	945
cape	946
mountain	947
hill	948
mountain-climbing, to ascend	949
to go down, to descend	950
plain	951
valley	952
grassy plain	953
swamp	954
forest, woods	955
jungle	956
bush	957
volcano	958
way, road	959
mud	960
footstep (footprint)	961
border, boundary	962
river	963
bridge	964
to go upstream	965
