GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	CHECKED
little child (male)	260		???		
little child (female)	261		???		
son	262	1620	SON	2	
daughter	263	1357	DAUGHTER	2	
grandfather	264	1383	GRANDFATHER	2	
grandmother	265	1496	GRANDMOTHER	2	
great-great-grandparents	266		???		
great-grandparents	267		???		
ancestors	268	1669	ANCESTORS	2	
#<<<					
brother	269	1262	BROTHER	2	
brother	269	559	BROTHER (OF MAN)	2	
#>>>					
sister	270	1263	SISTER	2	
older brother	271	1759	OLDER BROTHER	2	
older sister	272	1758	OLDER SISTER	2	
younger brother	273	1760	YOUNGER BROTHER	2	
younger sister	274	1761	YOUNGER SISTER	2	
#<<<					
grandchild	275	1618	GRANDSON	2	
grandchild	275	1617	GRANDCHILD	2	
#>>>					
uncle FB	276		???		
uncle MB	277		???		
uncle FBo	278		???		
uncle FBy	279		???		
uncle MBo	280		???		
uncle MBy	281		???		
aunt FZ	282		???		
aunt MZ	283		???		
aunt FZo	284		???		
aunt FZy	285		???		
aunt MZo	286		???		
#<<<					
aunt <unsp.>	287	2691	PATERNAL AUNT (FATHER'S SISTER)	4	
aunt <unsp.>	287	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	4	
aunt <unsp.>	287	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	4	
aunt <unsp.>	287	2175	PATERNAL AUNT	4	
aunt <unsp.>	287	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)	4	
aunt <unsp.>	287	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	4	
aunt <unsp.>	287	2176	MATERNAL AUNT	4	
aunt <unsp.>	287	2383	AUNT OR MOTHER-IN-LAW	4	
aunt <unsp.>	287	2682	AUNT OR UNCLE	4	
aunt <unsp.>	287	1272	AUNT	4	
#>>>					
aunt MZy	288		???		
#<<<					
aunt <unsp.>	289	2691	PATERNAL AUNT (FATHER'S SISTER)	4	
aunt <unsp.>	289	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	4	
aunt <unsp.>	289	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	4	
aunt <unsp.>	289	2175	PATERNAL AUNT	4	
